
[1mRooFit v3.60 -- Developed by Wouter Verkerke and David Kirkby[0m 
                Copyright (C) 2000-2013 NIKHEF, University of California & Stanford University
                All rights reserved, please read http://roofit.sourceforge.net/license.txt

 10 ./Templater
 10 -in
 10 -conf
 10 -flag
 10 -mc
 10 -ff
Configuring
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: applyTauCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: applyBMCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 1 :: for param :: applyIsoCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 20 :: for param :: nBinsMass
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 11 :: for param :: nBinsQsq
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 10 :: for param :: nBinsEmu
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 20 :: for param :: nBinsMMsq
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: doPhiPi
Setting output 
 Entering Do Template 
-------------------------
Set LHCb Style - Feb 2012
-------------------------
Going to write output file :: output/RootOutp_MCAll_bin0_NorBIsoPIDCutBsDsDs_Weight.root
 /afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_BsDD_NoCL_CB_Sim09b.root
TFile**		/afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_BsDD_NoCL_CB_Sim09b.root	
 TFile*		/afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_BsDD_NoCL_CB_Sim09b.root	
  KEY: TTree	DecayTree;1	tree with weights
nentries = 2986
With weight = ( McorrDsst > 3000 && McorrDsst < 8000 && (Ds_MM>1940 && Ds_MM<2000) && sq > 0. && ( Kpl_P>5000 && Kmi_P>5000 && pi_P>5000 && (Kpl_PT>800 || Kmi_PT>800 || pi_PT>800) && Ds_PT>2000 && Bs_0_BDTS_DOCA<0.50 && Bs_0_FDCHI2_TOPPV>50 && 1940<Ds_MM && 2000>Ds_MM  )  && ( mu_PIDmu > 0) && (mu_iso_MinBDT_Long>-0.5) )*sigw
2986
--- ... Processing event: 0
mass 3825.51, q2 2.30988e+06
mass 4182.89, q2 5.03318e+06
mass 5124.99, q2 6.1017e+06
mass 5133.55, q2 6.57514e+06
mass 4296.45, q2 2.32018e+06
mass 4269.75, q2 1.09197e+06
mass 4956.76, q2 2.64553e+06
mass 4001.44, q2 252831
mass 5045.19, q2 3.89377e+06
mass 4163.67, q2 4.42918e+06
mass 3450.93, q2 3.47366e+06
mass 4468.9, q2 1.67615e+06
mass 4108.48, q2 787820
mass 4456.57, q2 1.95282e+06
mass 4150.07, q2 475648
mass 6160.09, q2 78381.6
mass 4642.56, q2 1.1612e+06
mass 4342.32, q2 4.48822e+06
mass 5314.81, q2 397973
mass 5056.44, q2 4.12799e+06
mass 4376.91, q2 7.01031e+06
mass 3280.71, q2 1.15196e+06
mass 4618.2, q2 2.163e+06
mass 4560.47, q2 141731
mass 5926.62, q2 -1.13456e+06
mass 5884.7, q2 395652
mass 4270.15, q2 5.60276e+06
mass 4134.27, q2 1.59821e+06
mass 5065.17, q2 4.00228e+06
mass 3568.43, q2 1.09651e+06
mass 5932.38, q2 4.14629e+06
mass 4297.21, q2 2.68293e+06
mass 5397.77, q2 3.26939e+06
mass 4224.58, q2 2.9773e+06
mass 4779.65, q2 745204
mass 4972.96, q2 3.15702e+06
mass 4687.19, q2 2.68712e+06
mass 4488.41, q2 2.46476e+06
mass 4025.04, q2 5.06831e+06
mass 4659.68, q2 2.76056e+06
mass 5137.21, q2 4.36297e+06
mass 4720.99, q2 3.20994e+06
mass 4505.7, q2 5.02055e+06
mass 3659.54, q2 1.28736e+06
mass 3576.7, q2 5.4284e+06
mass 4149.27, q2 1.58294e+06
mass 4857.86, q2 3.4006e+06
mass 5014.22, q2 4.41858e+06
mass 4787.32, q2 1.25935e+06
mass 4291.62, q2 1.9272e+06
mass 3955.19, q2 3.66591e+06
mass 4195.26, q2 1.21841e+06
mass 5516.14, q2 4.06472e+06
mass 4181.86, q2 5.21598e+06
mass 5314.96, q2 2.66757e+06
mass 3923, q2 1.99501e+06
mass 4488.87, q2 1.54066e+06
mass 5164.14, q2 587616
mass 4107.4, q2 6.04666e+06
mass 4420.88, q2 5.80292e+06
mass 4438.71, q2 6.98621e+06
mass 4438.46, q2 5.0651e+06
mass 3889.11, q2 970225
mass 5238.25, q2 2.47333e+06
mass 3404.18, q2 1.8783e+06
mass 4397.15, q2 3.70734e+06
mass 4412.27, q2 1.88648e+06
mass 4328.82, q2 4.67056e+06
mass 4075.07, q2 1.90405e+06
mass 5201.63, q2 834854
mass 3320.38, q2 1.67182e+06
mass 4315.46, q2 964119
mass 4657.07, q2 1.16656e+06
mass 4930.32, q2 8.05648e+06
mass 7112.69, q2 -3.49438e+06
mass 4715.82, q2 938925
mass 4224.53, q2 5.66636e+06
mass 3500.07, q2 1.78201e+06
mass 4115.46, q2 4.52379e+06
mass 4019.83, q2 6.58617e+06
mass 3854.78, q2 8.20845e+06
mass 6193.73, q2 2.93135e+06
mass 3998.98, q2 1.27728e+06
mass 4274.65, q2 2.17267e+06
mass 4164.36, q2 464380
mass 3973.12, q2 6.76741e+06
mass 5252.05, q2 1.2876e+06
mass 3742.37, q2 7.64147e+06
mass 3480.46, q2 2.4534e+06
mass 4946.47, q2 128336
mass 5155.53, q2 8.7469e+06
mass 4859.37, q2 4.0883e+06
mass 4406.68, q2 3.94953e+06
mass 5275.46, q2 6.57228e+06
mass 4144.64, q2 1.0252e+07
mass 4349.7, q2 2.03864e+06
mass 5232.44, q2 38798.4
mass 4752.8, q2 1.66272e+06
mass 5207.14, q2 635051
mass 5225.51, q2 2.71919e+06
mass 3889.04, q2 1.29105e+06
mass 4636.12, q2 3.83222e+06
mass 4566.19, q2 7.82567e+06
mass 4629.44, q2 6.53698e+06
mass 5090.95, q2 2.66655e+06
mass 3831.51, q2 2.84049e+06
mass 5306.38, q2 3.83152e+06
mass 3689.84, q2 1.1023e+06
mass 4503.79, q2 784093
mass 4663.34, q2 6.17778e+06
mass 4469.64, q2 188180
mass 4345.32, q2 7.10359e+06
mass 4707.92, q2 2.61366e+06
mass 4935.96, q2 3.64619e+06
mass 4299.63, q2 2.27533e+06
mass 4787.51, q2 2.58077e+06
mass 4434.83, q2 1.11821e+06
mass 4598.84, q2 938159
mass 4545.1, q2 7.41776e+06
mass 5205.99, q2 2.62696e+06
mass 4251.6, q2 9.74361e+06
mass 5080.47, q2 2.93876e+06
mass 4607.96, q2 1.24365e+06
mass 5163.29, q2 1.66117e+06
mass 5449.77, q2 5.14098e+06
mass 3488.01, q2 1.48258e+06
mass 4150.32, q2 691596
mass 4111.88, q2 5.68511e+06
mass 4151.59, q2 1.66631e+06
mass 4329.16, q2 1.81798e+06
mass 4553.72, q2 1.94673e+06
mass 3273.76, q2 2.20733e+06
mass 3617.04, q2 1.23126e+06
mass 4612.57, q2 5.04405e+06
mass 4575.17, q2 246441
mass 4292.75, q2 2.12021e+06
mass 4473.56, q2 1.81711e+06
mass 4415.63, q2 3.52925e+06
mass 3608.8, q2 6.7652e+06
mass 4415.68, q2 6.50285e+06
mass 4473.12, q2 3.86237e+06
mass 4226.95, q2 2.67972e+06
mass 4807.55, q2 8.23105e+06
mass 4608.35, q2 4.44499e+06
mass 6502.53, q2 2.54398e+06
mass 4407.52, q2 8.66186e+06
mass 4777.26, q2 3.89382e+06
mass 5004.73, q2 1.4163e+06
mass 4530.82, q2 1.96562e+06
mass 4735.77, q2 7.0832e+06
mass 5470.81, q2 1.56682e+06
mass 5193.97, q2 4.3826e+06
mass 4179.27, q2 2.40711e+06
mass 3559.35, q2 8.31422e+06
mass 4041.02, q2 3.41566e+06
mass 4209, q2 2.51103e+06
mass 4618.76, q2 7.90662e+06
mass 3300.49, q2 1.40321e+06
mass 3947.35, q2 1.21426e+06
mass 4969.1, q2 3.11747e+06
mass 5051.77, q2 2.81561e+06
mass 4281.12, q2 1.42891e+06
mass 4743.07, q2 917223
mass 3851.16, q2 2.94067e+06
mass 4516.6, q2 3.81368e+06
mass 4290.62, q2 310284
mass 4976.22, q2 2.28571e+06
mass 3909.5, q2 3.76884e+06
mass 4855.84, q2 1.5878e+06
mass 3962.74, q2 1.16791e+06
mass 4435.85, q2 4.58023e+06
mass 5148.6, q2 8.00721e+06
mass 3674.9, q2 2.1978e+06
mass 4984.3, q2 2.22028e+06
mass 5575.29, q2 1.88305e+06
mass 3747.02, q2 9.4994e+06
mass 4172.23, q2 452818
mass 5796.01, q2 -354383
mass 4474.37, q2 9.66936e+06
mass 4631.42, q2 107209
mass 5952.54, q2 3.58063e+06
mass 5687.09, q2 -769018
mass 4324.43, q2 2.36229e+06
mass 3525.87, q2 1.90132e+06
mass 4836.89, q2 2.22063e+06
mass 4370.83, q2 6.93396e+06
mass 4629.37, q2 734800
mass 4952.27, q2 3.44819e+06
mass 4908.79, q2 1.8686e+06
mass 3476.59, q2 1.36219e+06
mass 3541.92, q2 4.10397e+06
mass 4290.89, q2 573246
mass 4843.08, q2 1.57744e+06
mass 4706.72, q2 1.99082e+06
mass 4136.37, q2 4.51452e+06
mass 5335.8, q2 1.8691e+06
mass 4205.11, q2 2.54849e+06
mass 5901.64, q2 1.47303e+06
mass 3514.69, q2 791616
mass 4280.46, q2 1.57256e+06
mass 4415.21, q2 4.56095e+06
mass 7177.78, q2 -1.65969e+06
mass 4749.02, q2 3.48438e+06
mass 4254.79, q2 2.27972e+06
mass 4151.46, q2 3.45797e+06
mass 4688.97, q2 828031
mass 4336.07, q2 2.49487e+06
mass 4032.46, q2 4.53232e+06
mass 3310.62, q2 7.57951e+06
mass 4432.49, q2 1.66329e+06
mass 4379.35, q2 2.14625e+06
mass 4404.95, q2 4.70433e+06
mass 3883.69, q2 1.01922e+06
mass 4783.02, q2 2.12703e+06
mass 3846.01, q2 5.80954e+06
mass 4036.05, q2 1.56127e+06
mass 5251.64, q2 1.47843e+06
