
[1mRooFit v3.60 -- Developed by Wouter Verkerke and David Kirkby[0m 
                Copyright (C) 2000-2013 NIKHEF, University of California & Stanford University
                All rights reserved, please read http://roofit.sourceforge.net/license.txt

 10 ./Templater
 10 -in
 10 -conf
 10 -flag
 10 -mc
 10 -ff
Configuring
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: applyTauCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: applyBMCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 1 :: for param :: applyIsoCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 20 :: for param :: nBinsMass
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 11 :: for param :: nBinsQsq
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 10 :: for param :: nBinsEmu
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 20 :: for param :: nBinsMMsq
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: doPhiPi
Setting output 
 Entering Do Template 
-------------------------
Set LHCb Style - Feb 2012
-------------------------
Going to write output file :: output/RootOutp_MCAll_bin0_NorBIsoPIDCutBuD0Ds_Weight.root
 /afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_BuDD_NoCL_CB_Sim09b.root
TFile**		/afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_BuDD_NoCL_CB_Sim09b.root	
 TFile*		/afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_BuDD_NoCL_CB_Sim09b.root	
  KEY: TTree	DecayTree;1	tree with weights
nentries = 1613
With weight = ( McorrDsst > 3000 && McorrDsst < 8000 && (Ds_MM>1940 && Ds_MM<2000) && sq > 0. && ( Kpl_P>5000 && Kmi_P>5000 && pi_P>5000 && (Kpl_PT>800 || Kmi_PT>800 || pi_PT>800) && Ds_PT>2000 && Bs_0_BDTS_DOCA<0.50 && Bs_0_FDCHI2_TOPPV>50 && 1940<Ds_MM && 2000>Ds_MM  )  && ( mu_PIDmu > 0) && (mu_iso_MinBDT_Long>-0.5) )*sigw
1613
--- ... Processing event: 0
mass 4177.36, q2 4.92449e+06
mass 4111.59, q2 2.81682e+06
mass 5059.2, q2 2.27733e+06
mass 4488.69, q2 3.34141e+06
mass 3773.94, q2 3.29329e+06
mass 3851.05, q2 2.32122e+06
mass 4376.13, q2 2.11668e+06
mass 5234.98, q2 3.98926e+06
mass 4403.36, q2 3.18807e+06
mass 4834.21, q2 3.49599e+06
mass 4274.07, q2 3.09966e+06
mass 4131.95, q2 249095
mass 4636.92, q2 2.98057e+06
mass 3523.71, q2 9.69999e+06
mass 4557.72, q2 1.85691e+06
mass 3883.25, q2 6.75362e+06
mass 5498.74, q2 1.38807e+06
mass 4438.58, q2 6.67864e+06
mass 3374.83, q2 2.51659e+06
mass 3962.39, q2 8.16761e+06
mass 3997.87, q2 8.89395e+06
mass 4266.23, q2 5.40262e+06
mass 4838.85, q2 1.17931e+06
mass 4864.76, q2 1.42786e+06
mass 4827.85, q2 1.68416e+06
mass 4750.35, q2 1.09361e+06
mass 4144.99, q2 382177
mass 4863.35, q2 2.27625e+06
mass 4671.03, q2 6.21793e+06
mass 5086.37, q2 1.73476e+06
mass 4498.92, q2 1.90404e+06
mass 3685.66, q2 1.35731e+06
mass 5315.07, q2 5.81808e+06
mass 4510.51, q2 3.28344e+06
mass 5187.36, q2 1.11404e+06
mass 4490.85, q2 3.2374e+06
mass 3783.83, q2 3.01807e+06
mass 4643.36, q2 4.06155e+06
mass 5400.15, q2 1.02156e+06
mass 4744.68, q2 3.50349e+06
mass 4018.05, q2 1.74626e+06
mass 4268.33, q2 8.40363e+06
mass 4419.11, q2 2.05228e+06
mass 4156.54, q2 8.02073e+06
mass 4576.88, q2 304540
mass 3546.73, q2 7.30353e+06
mass 4906.03, q2 5.91386e+06
mass 4807.94, q2 942983
mass 4429.82, q2 2.04845e+06
mass 4962.05, q2 7.74853e+06
mass 3151.22, q2 2.56182e+06
mass 5001.53, q2 1.92536e+06
mass 4549.7, q2 1.82927e+06
mass 4276.02, q2 1.792e+06
mass 4101.48, q2 3.4504e+06
mass 4725.55, q2 2.27708e+06
mass 4336.2, q2 2.01822e+06
mass 4016.32, q2 2.64184e+06
mass 4864.93, q2 1.88499e+06
mass 4141.64, q2 4.00527e+06
mass 3892.22, q2 3.81835e+06
mass 5008.21, q2 1.42655e+06
mass 4423.8, q2 2.92207e+06
mass 5222.31, q2 3.01967e+06
mass 4952.41, q2 1.45335e+06
mass 4482.41, q2 877016
mass 3737.49, q2 2.56325e+06
mass 3875.68, q2 1.00496e+07
mass 4043.91, q2 580551
mass 4241.32, q2 7.93769e+06
mass 5173.21, q2 391743
mass 4443.46, q2 1.55786e+06
mass 4773.9, q2 2.65709e+06
