
[1mRooFit v3.60 -- Developed by Wouter Verkerke and David Kirkby[0m 
                Copyright (C) 2000-2013 NIKHEF, University of California & Stanford University
                All rights reserved, please read http://roofit.sourceforge.net/license.txt

 10 ./Templater
 10 -in
 10 -ss
 10 -conf
 10 -flag
 10 -ff
Configuring
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: applyTauCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: applyBMCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 1 :: for param :: applyIsoCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 20 :: for param :: nBinsMass
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 11 :: for param :: nBinsQsq
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 10 :: for param :: nBinsEmu
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 20 :: for param :: nBinsMMsq
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: doPhiPi
Setting output 
 Entering Do Template 
-------------------------
Set LHCb Style - Feb 2012
-------------------------
Going to write output file :: output/RootOutp_MCAll_bin0_NorBIsoPIDCut_SameSign_Weight.root
 /afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_SS_CB.root
TFile**		/afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_SS_CB.root	
 TFile*		/afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_SS_CB.root	
  KEY: TTree	DecayTree;1	tree with weights
nentries = 5696
With weight = ( McorrDsst > 3000 && McorrDsst < 8000 && (Ds_MM>1940 && Ds_MM<2000) && sq > 0. && (Bs_0_Hlt2XcMuXForTauB2XcMuDecision_TOS == 1)  && ( mu_PIDmu > 0) && (mu_iso_MinBDT_Long>-0.5) )*sigw
5696
--- ... Processing event: 0
mass 3426.58, q2 6.74932e+06
mass 3796.48, q2 1.45328e+06
mass 4235.97, q2 7.67167e+06
mass 3518.87, q2 895050
mass 4632.52, q2 9.45836e+06
mass 5181.58, q2 8.74649e+06
mass 4343.4, q2 1.86336e+06
mass 3936.64, q2 6.12395e+06
mass 3521.47, q2 8.97502e+06
mass 3226.43, q2 4.19426e+06
mass 4658, q2 3.16215e+06
mass 4978.29, q2 9.49796e+06
mass 4212.72, q2 1.05144e+07
mass 3891.92, q2 4.75902e+06
mass 3472.52, q2 7.96878e+06
mass 3293.44, q2 4.30171e+06
mass 4090.91, q2 2.17081e+06
mass 3392.16, q2 5.74359e+06
mass 3563.12, q2 9.56432e+06
mass 4281.49, q2 1.01256e+07
mass 3965.09, q2 258070
mass 4760.43, q2 1.02507e+07
mass 3791.61, q2 3.59212e+06
mass 5250.25, q2 8.80071e+06
mass 3800.43, q2 2.69872e+06
mass 5050.96, q2 2.97508e+06
mass 3466.81, q2 7.19478e+06
mass 4397.24, q2 8.17679e+06
mass 3388.91, q2 2.89841e+06
mass 3509.56, q2 2.51672e+06
mass 3369.07, q2 8.92505e+06
mass 3616.26, q2 3.11509e+06
mass 3276.77, q2 7.42314e+06
mass 4463.1, q2 1.03599e+07
mass 3781.04, q2 8.6418e+06
mass 3171.06, q2 1.94632e+06
mass 3977.94, q2 6.55078e+06
mass 3367.24, q2 1.39858e+06
mass 3360.52, q2 8.67534e+06
mass 5053.24, q2 3.90311e+06
mass 5279.99, q2 8.71486e+06
mass 3203.69, q2 8.99742e+06
mass 3563.02, q2 1.77309e+06
mass 3887.51, q2 735129
mass 4444.52, q2 9.33537e+06
mass 4184.66, q2 1.0319e+07
mass 3704.46, q2 5.64369e+06
mass 4438.31, q2 1.01856e+07
mass 3828.67, q2 8.94041e+06
mass 4339.2, q2 1.06286e+07
mass 3980.5, q2 8.71158e+06
mass 4062.8, q2 1.84446e+06
mass 3589.07, q2 6.56383e+06
mass 3123.12, q2 8.72843e+06
mass 3189.44, q2 1.36302e+06
mass 3565.23, q2 8.84033e+06
mass 3486.49, q2 3.44844e+06
mass 4399, q2 1.03166e+07
mass 3920.47, q2 4.04174e+06
mass 4779.17, q2 1.01751e+07
mass 4092.3, q2 9.60433e+06
mass 4063.8, q2 2.25115e+06
mass 3636.99, q2 4.81577e+06
mass 3423.98, q2 796001
mass 3842.28, q2 8.34903e+06
