br	cls	clb	clsb	CLs_exp_b_med	CLs_exp_b_p1	CLs_exp_b_p2	CLs_exp_b_m1	CLs_exp_b_m2	CLb_exp_s_med	CLb_exp_s_p1	CLb_exp_s_p2	CLb_exp_s_m1	CLb_exp_s_m2
5e-08	0.282090773663	0.455793	0.128575	0.30432	0.1457	0.0659340659341	0.563905952381	0.835629572781	0.85612	0.513861	0.15746	0.981906	0.999165
5.09803921569e-08	0.272132603162	0.457244	0.124431	0.29428	0.14005625	0.0632527472527	0.553547619048	0.829899206958	0.861141	0.522153	0.161551	0.982883	0.999158
5.19607843137e-08	0.263803680982	0.456237	0.120357	0.285908	0.1335	0.0608351648352	0.542167857143	0.824088002047	0.866579	0.530554	0.166833	0.983805	0.99925
5.29411764706e-08	0.255278462297	0.456525	0.116541	0.277338	0.12894375	0.0571428571429	0.533586904762	0.818755691993	0.870852	0.538204	0.170643	0.984659	0.999296
5.39215686275e-08	0.247073991081	0.456082	0.112686	0.268996	0.12175	0.0512967032967	0.5245	0.812484011256	0.874962	0.54606	0.177297	0.985465	0.999363
5.49019607843e-08	0.238928794675	0.455935	0.108936	0.260612	0.11565	0.0487472527473	0.515897619048	0.806141724226	0.878658	0.554365	0.182507	0.98617	0.999437
5.58823529412e-08	0.231302603367	0.456601	0.105613	0.252308	0.11120625	0.048043956044	0.506807142857	0.800678434382	0.88273	0.561697	0.186871	0.986941	0.999463
5.6862745098e-08	0.224221392681	0.456745	0.102412	0.244786	0.10683125	0.0456263736264	0.498444047619	0.795494499872	0.886342	0.56963	0.191258	0.987474	0.999494
5.78431372549e-08	0.217792481018	0.455833	0.099277	0.238654	0.10245625	0.0451428571429	0.489385714286	0.790195958046	0.890262	0.576191	0.196396	0.987963	0.999557
5.88235294118e-08	0.211527786006	0.455751	0.096404	0.231804	0.0975625	0.0398681318681	0.48078452381	0.783504732668	0.893983	0.583413	0.201187	0.988672	0.999523
5.98039215686e-08	0.204263305838	0.456078	0.09316	0.224414	0.0931375	0.0353846153846	0.473120238095	0.777770273727	0.897219	0.590893	0.207998	0.989362	0.999599
6.07843137255e-08	0.196859625478	0.456315	0.08983	0.216488	0.088075	0.0344175824176	0.463672619048	0.77170938859	0.900816	0.599768	0.213438	0.989946	0.999595
6.17647058824e-08	0.190282983939	0.456457	0.086856	0.209846	0.08520625	0.0314285714286	0.455363095238	0.76502737273	0.903963	0.60677	0.218456	0.990401	0.999635
6.27450980392e-08	0.185801534779	0.454528	0.084452	0.20535	0.0822875	0.0316483516484	0.446767857143	0.758677922742	0.907213	0.6121	0.221326	0.990923	0.999723
6.37254901961e-08	0.178550584725	0.45577	0.081378	0.197434	0.0787375	0.0295384615385	0.437282142857	0.752032744948	0.910989	0.62067	0.228726	0.991308	0.999696
6.47058823529e-08	0.17182172083	0.455443	0.078255	0.190262	0.07414375	0.028	0.429996428571	0.745255564083	0.914649	0.627655	0.23545	0.991754	0.999731
6.56862745098e-08	0.166135911413	0.455326	0.075646	0.184306	0.07175625	0.028043956044	0.42126547619	0.738333077513	0.916814	0.635498	0.240149	0.992209	0.999724
6.66666666667e-08	0.16053391291	0.455505	0.073124	0.178358	0.06768125	0.0243956043956	0.411844047619	0.73063085188	0.920234	0.64319	0.246186	0.992849	0.999764
6.76470588235e-08	0.155200014073	0.454768	0.07058	0.172744	0.0649	0.0221978021978	0.404470238095	0.724906625735	0.922966	0.650506	0.253134	0.993173	0.999784
6.86274509804e-08	0.15072079274	0.455332	0.068628	0.16786	0.06129375	0.0227692307692	0.39530952381	0.716334612433	0.92654	0.657789	0.257359	0.993692	0.999821
6.96078431373e-08	0.144748750856	0.454111	0.065732	0.162244	0.05956875	0.0198681318681	0.389248809524	0.710749552315	0.928619	0.663721	0.26285	0.993956	0.999824
7.05882352941e-08	0.140761023885	0.454309	0.063949	0.157866	0.0568625	0.0185934065934	0.380960714286	0.705009976976	0.931121	0.66966	0.269593	0.994349	0.999823
