br	cls	clb	clsb	CLs_exp_b_med	CLs_exp_b_p1	CLs_exp_b_p2	CLs_exp_b_m1	CLs_exp_b_m2	CLb_exp_s_med	CLb_exp_s_p1	CLb_exp_s_p2	CLb_exp_s_m1	CLb_exp_s_m2
9.9e-09	0.758816304217	0.281694	0.213754	0.828464	0.7143625	0.616879120879	0.927395238095	0.983629572781	0.586624	0.217212	0.036042	0.889022	0.987136
1e-08	0.755152596116	0.282576	0.213388	0.824088	0.7054875	0.599648351648	0.927069047619	0.98386902021	0.587878	0.218452	0.036542	0.88909	0.98721
1.01e-08	0.758027807517	0.282082	0.213826	0.823836	0.7083375	0.607912087912	0.926638095238	0.983877206447	0.587918	0.217568	0.03587	0.888842	0.987284
1.02e-08	0.75366521098	0.282112	0.212618	0.823348	0.7074625	0.613274725275	0.927235714286	0.983838321821	0.588524	0.218692	0.0358	0.889178	0.987458
1.03e-08	0.746096296086	0.282296	0.21062	0.821744	0.700025	0.602637362637	0.927426190476	0.984959836275	0.589012	0.221136	0.036532	0.888922	0.987
1.04e-08	0.741445996111	0.28285	0.209718	0.814468	0.6934625	0.58778021978	0.925266666667	0.983547710412	0.592078	0.221898	0.037276	0.89015	0.987578
1.05e-08	0.742419318374	0.283088	0.21017	0.814604	0.698	0.58821978022	0.924411904762	0.984128933231	0.593072	0.221566	0.037498	0.890234	0.98722
1.06e-08	0.738970822281	0.28275	0.208944	0.812788	0.692525	0.578021978022	0.923457142857	0.983171143515	0.593174	0.222484	0.037918	0.89024	0.987552
1.07e-08	0.741503707021	0.281358	0.208628	0.811976	0.6942875	0.581010989011	0.921645238095	0.983269378358	0.594218	0.222146	0.038052	0.891346	0.987556
1.08e-08	0.739281905439	0.2813	0.20796	0.812868	0.6914125	0.582593406593	0.9221	0.983834228703	0.594198	0.222694	0.037716	0.890808	0.987588
1.09e-08	0.733613511	0.281726	0.206678	0.810312	0.681375	0.565802197802	0.920466666667	0.983203888463	0.595788	0.2246	0.038684	0.891916	0.987696
1.1e-08	0.729614649161	0.281354	0.20528	0.807932	0.678175	0.562021978022	0.918742857143	0.982244052187	0.597334	0.22559	0.0385	0.892852	0.987906
1.11e-08	0.726131525443	0.282318	0.205	0.803504	0.6704375	0.559736263736	0.917414285714	0.981945254541	0.598608	0.226712	0.039262	0.893568	0.988004
1.12e-08	0.726111985481	0.282108	0.204842	0.802624	0.6705875	0.565626373626	0.91629047619	0.981476592479	0.598768	0.227428	0.039338	0.89433	0.988062
1.13e-08	0.725633407317	0.282046	0.204662	0.801884	0.67035	0.577054945055	0.916995238095	0.981799948836	0.599584	0.227852	0.038534	0.893826	0.988124
1.14e-08	0.726221061447	0.281804	0.204652	0.802408	0.6735125	0.577318681319	0.916619047619	0.981611665388	0.599204	0.227134	0.038632	0.894852	0.98823
1.15e-08	0.719400912517	0.282296	0.203084	0.800528	0.664925	0.554901098901	0.915607142857	0.981744691737	0.600156	0.229566	0.039514	0.895206	0.987876
1.16e-08	0.714899885968	0.282378	0.201872	0.798232	0.6571125	0.549626373626	0.91345	0.980731644922	0.601998	0.230764	0.040044	0.896054	0.988072
1.17e-08	0.716356078287	0.281938	0.201968	0.798144	0.6597625	0.567648351648	0.912926190476	0.980743924277	0.602446	0.230784	0.03923	0.896832	0.988242
1.18e-08	0.713478880934	0.281878	0.201114	0.793044	0.657775	0.566769230769	0.911078571429	0.980539268355	0.604396	0.231122	0.038698	0.897148	0.988456
1.19e-08	0.713968957871	0.281424	0.200928	0.793548	0.657775	0.546813186813	0.911216666667	0.9811041187	0.603502	0.230474	0.039668	0.897246	0.988174
1.2e-08	0.709557829422	0.281068	0.199434	0.791196	0.65635	0.549010989011	0.909833333333	0.98015860834	0.605232	0.231794	0.039608	0.897916	0.988396
1.21e-08	0.706676227122	0.281716	0.199082	0.788488	0.6537125	0.54356043956	0.908714285714	0.979385008954	0.605984	0.23275	0.040268	0.898816	0.988538
1.22e-08	0.706919887732	0.280756	0.198472	0.7903	0.653675	0.537318681319	0.910214285714	0.980365310821	0.605778	0.23272	0.040458	0.898166	0.988514
1.23e-08	0.704890267855	0.281048	0.198108	0.787608	0.651225	0.53810989011	0.909488095238	0.980226144794	0.607036	0.233734	0.04045	0.897732	0.988522
1.24e-08	0.697364028327	0.281566	0.196354	0.782196	0.6407375	0.521758241758	0.906907142857	0.979534407777	0.609342	0.236028	0.041546	0.898588	0.988818
1.25e-08	0.703435559145	0.279838	0.196848	0.787268	0.64685	0.526417582418	0.907523809524	0.979075978511	0.606814	0.234266	0.041546	0.899368	0.989008
1.26e-08	0.69928322577	0.280144	0.1959	0.781152	0.6460625	0.516395604396	0.906247619048	0.979139421847	0.610186	0.234998	0.041832	0.89964	0.988914
1.27e-08	0.697127117556	0.280276	0.195388	0.78204	0.64045	0.512967032967	0.906097619048	0.978414939882	0.609626	0.236228	0.042148	0.900116	0.989038
1.28e-08	0.694040624955	0.279828	0.194212	0.780084	0.6385375	0.509714285714	0.905838095238	0.97752673318	0.609992	0.237016	0.042276	0.900408	0.989354
1.29e-08	0.693876093555	0.28005	0.19432	0.779764	0.63765	0.510065934066	0.905388095238	0.978073164492	0.610332	0.236736	0.041734	0.900758	0.989336
1.3e-08	0.687888808736	0.280022	0.192624	0.77596	0.6336625	0.506989010989	0.903214285714	0.977870555129	0.613336	0.238476	0.042318	0.901446	0.989396
1.31e-08	0.682553336698	0.281326	0.19202	0.773588	0.62515	0.499164835165	0.902716666667	0.977565617805	0.613956	0.2407	0.04265	0.901494	0.989172
1.32e-08	0.68261616428	0.280594	0.191538	0.773656	0.6269	0.505406593407	0.902530952381	0.977258633922	0.613858	0.24026	0.042504	0.901564	0.989198
1.33e-08	0.678953711429	0.280458	0.190418	0.770192	0.62555	0.512087912088	0.900445238095	0.976980301867	0.615096	0.241492	0.042854	0.903004	0.989524
1.34e-08	0.681061817974	0.280048	0.19073	0.76772	0.623775	0.504351648352	0.900197619048	0.977180864671	0.616474	0.240518	0.043156	0.902752	0.98944
1.35e-08	0.680613408086	0.278966	0.189868	0.766168	0.6226625	0.506197802198	0.897816666667	0.976397032489	0.617166	0.240562	0.043054	0.903714	0.98945
1.36e-08	0.67703315083	0.279812	0.189442	0.76456	0.6143875	0.486065934066	0.899088095238	0.977275006395	0.617654	0.2415	0.044104	0.903194	0.9893
1.37e-08	0.677716192604	0.279288	0.189278	0.763752	0.6159	0.486769230769	0.896964285714	0.976532105398	0.618766	0.241904	0.043874	0.904432	0.989536
1.38e-08	0.675815513386	0.279088	0.188612	0.760384	0.6200125	0.491516483516	0.895519047619	0.976071629573	0.62076	0.242324	0.043604	0.90503	0.989726
1.39e-08	0.674822789265	0.278482	0.187926	0.7624	0.6169625	0.494505494505	0.895769047619	0.976366334101	0.620764	0.24263	0.043304	0.904482	0.989624
1.4e-08	0.670185206389	0.279472	0.187298	0.75774	0.610175	0.478505494505	0.893173809524	0.975529291379	0.622334	0.24446	0.044478	0.905852	0.989766
1.41e-08	0.668854363918	0.278832	0.186498	0.757772	0.612575	0.475868131868	0.894785714286	0.975832182144	0.62251	0.244934	0.044144	0.905416	0.989692
1.42e-08	0.668703199822	0.278578	0.186286	0.758988	0.6100375	0.479032967033	0.893492857143	0.975095420824	0.621442	0.245154	0.044732	0.906196	0.990054
1.43e-08	0.665482959651	0.278222	0.185152	0.753192	0.6082375	0.471824175824	0.891464285714	0.974915323612	0.62457	0.246042	0.044978	0.906866	0.98987
1.44e-08	0.662280165877	0.278278	0.184298	0.749776	0.6058	0.473846153846	0.891761904762	0.975224354055	0.625636	0.246908	0.044414	0.906168	0.9898
1.45e-08	0.660685742263	0.277772	0.18352	0.749576	0.604825	0.473494505495	0.889802380952	0.974440521873	0.626346	0.246694	0.044634	0.907192	0.990212
1.46e-08	0.656114188019	0.278418	0.182674	0.747712	0.5982	0.470417582418	0.890761904762	0.975295983628	0.627472	0.248344	0.044558	0.90675	0.990108
1.47e-08	0.656273178319	0.277738	0.182272	0.747712	0.598325	0.468131868132	0.89034047619	0.974952161678	0.627592	0.249116	0.0451	0.906912	0.989898
1.48e-08	0.650657625365	0.278426	0.18116	0.74346	0.5922125	0.469098901099	0.890130952381	0.974968534152	0.628868	0.250396	0.044754	0.907086	0.990102
1.49e-08	0.650176602188	0.278026	0.180766	0.742076	0.5910875	0.473054945055	0.889002380952	0.973832693784	0.62942	0.250432	0.04497	0.90839	0.990542
1.5e-08	0.652500595466	0.277094	0.180804	0.744424	0.5898875	0.461098901099	0.888604761905	0.973713993349	0.62843	0.250118	0.045858	0.908452	0.990548
1.51e-08	0.649171748627	0.277452	0.180114	0.7398	0.58465	0.46610989011	0.885619047619	0.972893323101	0.630666	0.251332	0.045942	0.909262	0.990668
1.52e-08	0.643110534285	0.27738	0.178386	0.737016	0.5820875	0.45556043956	0.886047619048	0.973116398056	0.631422	0.25382	0.046194	0.909124	0.990548
1.53e-08	0.643316835255	0.277204	0.17833	0.737152	0.5837125	0.458901098901	0.883402380952	0.973306728063	0.632902	0.25333	0.046204	0.909904	0.99048
1.55e-08	0.634361265169	0.278034	0.176374	0.731816	0.5756375	0.442373626374	0.882111904762	0.97178818112	0.635062	0.25632	0.046726	0.910492	0.99067
1.56e-08	0.635277319045	0.277334	0.176184	0.730592	0.5741375	0.437714285714	0.881838095238	0.972035814786	0.635142	0.256206	0.047192	0.910952	0.99087
1.57e-08	0.633938562611	0.27703	0.17562	0.728448	0.56985	0.434725274725	0.880545238095	0.971798413917	0.636354	0.256474	0.048226	0.912078	0.991046
1.58e-08	0.634218800824	0.27669	0.175482	0.730204	0.57105	0.429274725275	0.880923809524	0.972035814786	0.636162	0.255792	0.04813	0.911954	0.990812
1.59e-08	0.629969617586	0.277134	0.174586	0.725828	0.5653875	0.424967032967	0.879554761905	0.971233563571	0.637966	0.257834	0.048448	0.912216	0.990972
1.6e-08	0.626888534042	0.276802	0.173524	0.724928	0.5634875	0.424087912088	0.878076190476	0.971254029163	0.638746	0.258474	0.048624	0.912798	0.99111
1.61e-08	0.625096372086	0.27757	0.173508	0.723264	0.5628625	0.427340659341	0.875466666667	0.970437452034	0.640282	0.259552	0.048136	0.913768	0.991256
1.62e-08	0.624005763689	0.2776	0.173224	0.72062	0.5611875	0.434021978022	0.87535952381	0.970128421591	0.641728	0.259866	0.048216	0.913568	0.991144
1.63e-08	0.623882517038	0.276738	0.172652	0.722592	0.5578875	0.42778021978	0.875933333333	0.970222563315	0.640032	0.260036	0.049198	0.91384	0.991078
1.64e-08	0.618575306075	0.277056	0.17138	0.720076	0.556175	0.419164835165	0.875430952381	0.970515221284	0.640736	0.262036	0.04968	0.913868	0.991174
1.65e-08	0.621452109361	0.27615	0.171614	0.718088	0.5589375	0.428747252747	0.875219047619	0.969467382962	0.641252	0.260492	0.048998	0.9138	0.99139
1.66e-08	0.620290001589	0.276964	0.171798	0.718008	0.557375	0.43156043956	0.87470952381	0.969344589409	0.642174	0.261236	0.048884	0.913916	0.99168
1.67e-08	0.618313137686	0.275802	0.170532	0.714904	0.5581375	0.427076923077	0.872166666667	0.968771552827	0.64441	0.26171	0.04892	0.914998	0.991534
1.68e-08	0.616605227518	0.276154	0.170278	0.71224	0.5539875	0.41389010989	0.870645238095	0.968669224866	0.64596	0.262242	0.049896	0.914886	0.991622
1.69e-08	0.61282390633	0.276546	0.169474	0.711452	0.551425	0.409406593407	0.87039047619	0.968777692504	0.644968	0.263564	0.050152	0.915564	0.991604
1.7e-08	0.607006612869	0.277338	0.168346	0.709048	0.5458375	0.405362637363	0.869242857143	0.96865694551	0.646508	0.26556	0.050472	0.916126	0.991502
1.71e-08	0.607538433713	0.27645	0.167954	0.706004	0.5450625	0.405010989011	0.868995238095	0.968482987976	0.647364	0.265468	0.0507	0.915982	0.991638
1.72e-08	0.604609993136	0.27679	0.16735	0.704712	0.5433	0.401934065934	0.866954761905	0.968352008186	0.64873	0.266732	0.05122	0.916544	0.99158
1.73e-08	0.601341076627	0.276196	0.166088	0.703544	0.5380625	0.397538461538	0.866728571429	0.968317216679	0.650112	0.268232	0.051412	0.916994	0.991612
1.74e-08	0.597520422179	0.27666	0.16531	0.702608	0.5332375	0.389538461538	0.86590952381	0.968319263239	0.650622	0.269486	0.051932	0.916962	0.99167
1.75e-08	0.599028711632	0.276334	0.165532	0.700448	0.5371375	0.387956043956	0.864004761905	0.967165003837	0.65199	0.268566	0.051776	0.917922	0.991942
1.76e-08	0.593069499881	0.277094	0.164336	0.69638	0.5329125	0.399120879121	0.861869047619	0.966004604758	0.65472	0.270842	0.05166	0.918666	0.992168
1.77e-08	0.595971014493	0.276	0.164488	0.698116	0.532425	0.388659340659	0.861942857143	0.96602507035	0.652884	0.269946	0.05211	0.918958	0.992056
